Type,Name,IUIS,inSilico,Source,Last Update,Code
1,Aeg ta 11,0,1,Aegilops cylindrica; Aegilops squarrosa; Aegilops tauschii; Cylindropyrum cylindricum; Grasses; Patropyrum tauschii; Plants; Poaceae; Tausch's Goatgrass; Triticum cylindricum; Triticum tauschii,12.08.13,11051
2,Aeg ta 12,0,1,Aegilops cylindrica; Aegilops squarrosa; Aegilops tauschii; Cylindropyrum cylindricum; Grasses; Patropyrum tauschii; Plants; Poaceae; Tausch's Goatgrass; Triticum cylindricum; Triticum tauschii,12.08.13,11021
3,Aeg ta 5,0,1,Aegilops cylindrica; Aegilops squarrosa; Aegilops tauschii; Cylindropyrum cylindricum; Grasses; Patropyrum tauschii; Plants; Poaceae; Tausch's Goatgrass; Triticum cylindricum; Triticum tauschii,13.08.13,11079
4,Agr c 7,0,,Agropyron cristatum; Crested Wheatgrass; Grasses; Plants; Poaceae; Quack Grass,18.08.08,1387
5,Agr ca 1,0,,Agrostis capillaris; Agrostis tenuis; Agrostis vulgaris; Browntop; Common Bent; Grasses; Plants; Poaceae,15.12.12,5801
6,Agr ca 5,0,,Agrostis capillaris; Agrostis tenuis; Agrostis vulgaris; Browntop; Common Bent; Grasses; Plants; Poaceae,15.12.12,9730
7,Agr g 1,0,,Agrostis alba; Agrostis alba alba; Agrostis gigantea; Agrostis gigantea var. dispar; Agrostis nigra; Agrostis stolonifera var. major; Black Bent; Grasses; Plants; Poaceae; Redtop; Water Bentgrass,03.11.16,6
8,Agr g 4,0,,Agrostis alba; Agrostis alba alba; Agrostis gigantea; Agrostis gigantea var. dispar; Agrostis nigra; Agrostis stolonifera var. major; Black Bent; Grasses; Plants; Poaceae; Redtop; Water Bentgrass,03.11.16,5800
9,Agr s 5,0,,Agrostis stolonifera; Creeping Bent; Grasses; Plants; Poaceae,16.08.09,7652
10,Aln g 1,1,,Alder; Alnus glutinosa; Betulaceae; Birch/Hazel/Oak-related Species; European Alder; Fagales; Plants,21.08.19,7
11,Aln g 1/Bet v 1/Cor a 1 TPC7,0,,Alder; Alnus glutinosa; Betula pendula; Betula verrucosa; Betulaceae; Birch; Birch/Hazel/Oak-related Species; Castanea sativa; Chestnut; Corylaceae; Corylus avellana; European Alder; Fagaceae; Fagales; Hazelnut; Plants; Silver Birch,03.09.15,3820
