Species_name;clonal_adventitious_buds_on_roots;clonal_bulbs;clonal_epigeogeneous_stems;clonal_hypogeogeneous_stems;clonal_plant_fragments_of_stem_origin;clonal_plantlets_(pseudovivipary);clonal_rooting_horizontal_stems;clonal_root-splitters;clonal_spacers_above_and_renewal_buds_below_soil_surface;clonal_stem_tubers;clonal_buds_on_leaves_(gemmipary);reprod_type;LifeF_macrophanero;LifeF_nanophanero;LifeF_hemicrypto;LifeF_geophyte;LifeF_chamae;LifeF_hemiphanero;LifeF_pseudo;LifeF_thero;flower_class;legume;flower_brown;flower_yellow;flower_green;flower_red;flower_white;flower_pink;flower_purple;flower_violet;flower_blue;DispersalUnitLength_mean;LeafArea_mean;LeafNitrogenContent_mean;PlantHeight_mean;PlantMycorrhizalInfection_mean;SeedDryMass_mean;SLA_mean
Acer_campestre;1;0;0;0;0;0;0;0;0;0;0;ssv;1;1;0;0;0;0;0;0;A;0;0;1;1;0;0;0;0;0;0;23.309;2925.923508;19.97393625;13.35666667;70;78.18901132;19.25199704
Acer_negundo;1;0;0;0;0;0;0;0;0;0;0;sv;1;0;0;0;0;0;0;0;A;0;0;1;1;0;0;0;0;0;0;31.18571429;7874.811968;26.10705818;7.082111111;;30.75674958;23.43021205
Acer_platanoides;1;0;0;0;0;0;0;0;0;0;0;s;1;0;0;0;0;0;0;0;A;0;0;1;1;0;0;0;0;0;0;33.875;9417.831591;20.43254884;18.42705882;;128.6117159;20.62134007
Acer_pseudoplatanus;1;0;0;0;0;0;0;0;0;0;0;s;1;0;0;0;0;0;0;0;A;0;0;1;1;0;0;0;0;0;0;32.368;8669.575856;25.25647755;23.14175;70;86.59321473;15.01696267
Achillea_millefolium;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;B`;0;0;0;0;1;1;1;1;0;0;1.893333333;553.4395979;26.65611603;0.385589623;70;0.183669903;15.24885873
Agrimonia_eupatoria;0;0;0;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;Po;0;0;0;1;0;0;0;0;0;0;6.52;6694.666667;16.675;0.5245625;70;13.17648276;18.018
Agrostis_capillaris;0;0;1;1;0;0;1;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;1.513;213.3804444;21.72276023;0.39603255;70;0.066257115;31.4717982
Agrostis_gigantea;0;0;1;1;0;0;1;0;0;0;0;sv;0;0;1;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;1.458333333;881.388;;0.766973333;70;0.082381388;29.28657143
Agrostis_stolonifera;0;0;1;0;0;0;1;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;0;0;0;0;0;1;0;0;1.37125;252.3228178;30.43114073;0.653136;70;0.054623059;28.55027479
Ajuga_genevensis;1;0;1;0;0;0;0;0;0;0;0;ssv;0;0;1;0;0;0;0;0;Hh;0;0;0;0;0;0;0;0;0;1;2.046;381.7766667;;0.155;;;25.79166667
Ambrosia_psilostachya;0;0;0;0;0;0;0;1;0;0;0;vvs;0;0;1;0;0;0;0;0;W;0;0;1;1;0;0;0;0;0;0;2.75;406.3894205;21.55226531;0.4525;;6.527875;15.86563129
Anchusa_officinalis;1;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;H;0;0;0;0;0;0;0;0;1;0;3.001666667;1383.041667;;0.5;;4.408571429;23.155
Anthoxanthum_odoratum;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;1;0;0;3.185;750.0270164;20.35698693;0.350757229;70;0.476304255;27.64428997
Anthriscus_caucalis;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;A;0;0;0;1;0;1;0;0;0;0;3.616;3466.094444;;0.3955;;1.175061538;34.07214286
Arabidopsis_thaliana;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.446666667;110.3750469;36.43924695;0.17625;10;0.036807027;32.88970161
Arabis_glabra;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;AB;0;0;1;0;0;1;0;0;0;0;0.823333333;1399.098136;35.59156857;0.622083333;;0.0820875;23.4214555
Arenaria_serpyllifolia;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.51;9.668476447;10.17717;0.118142857;10;0.070098333;20.88462238
Armeria_elongata;1;0;0;1;0;0;0;0;0;0;0;ssv;0;0;1;0;1;0;0;0;B`;0;0;0;0;0;0;1;1;0;0;;;;;;;
Arrhenatherum_elatius;0;1;0;1;0;0;0;0;0;1;0;ssv;0;0;1;0;0;0;0;0;W;0;0;0;1;0;0;0;0;0;0;8.11;1463.646111;31.37171024;0.930105303;70;2.818823277;29.05534257
Artemisia_campestris;1;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;1;0;0;0;Wb;0;0;1;0;1;0;0;0;0;0;1.256;202.2953846;20.47666667;0.367083333;70;0.121473684;17.88983396
Artemisia_vulgaris;1;0;0;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;Wb;0;0;1;0;1;0;0;0;0;0;1.385;2433.006727;26.51924;1.048546015;70;0.158688889;19.4178727
Berteroa_incana;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;1.725;155.9192308;18.9128778;0.471818182;;0.488916667;19.93557775
Bromus_hordeaceus;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;W;0;0;1;0;0;0;0;0;0;0;10.12727273;290.6174777;27.26791278;0.23129011;70;2.355209605;21.25104212
Bromus_inermis;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;9.4;1233.41886;22.10241648;0.801767956;;2.896686204;20.06216096
Bromus_sterilis;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;W;0;0;1;0;0;0;0;0;0;0;23.96538462;1187.758897;31.589968;0.44574458;;6.483117647;33.14649253
Bromus_tectorum;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;W;0;0;1;0;0;0;0;0;0;0;14.86785714;238.5650979;20.47857143;0.242349814;;2.847330949;20.70579487
Calamagrostis_epigejos;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;2.026;2054.751582;13.12887967;1.088333333;70;0.065083333;22.18027655
Campanula_rapunculus;0;0;0;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;Hb;0;0;0;0;0;0;0;0;1;0;0.403333333;746.10376;32.90423333;0.478571429;;0.031111111;38.37214769
Capsella_bursa-pastoris;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.951428571;1010.393256;37.61035833;0.252959559;10;0.120740833;30.65054686
Cardamine_hirsuta;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;1;156.179585;16.28593917;0.154553846;10;0.111681481;26.26621475
Cardaminopsis_arenosa;0;0;0;0;0;0;1;0;0;0;0;s;0;0;1;0;0;0;0;0;AB;0;0;0;0;0;1;0;1;0;0;;;;;;;
