Species,Species_name,Species_acceptedname,family,subfamily,Frequency,allergen_score_old,allergenicity_anecdotal,allergen_score_corrected,IUIS.record,SDAP.record,AllFam.record,Allergenonline.record,Allergome.record,additional_ref,react.europe.Allergome,FDA,allergenicity_strict,ref_severity,Comment_severity
Holcus_lanatus,Holcus lanatus,Holcus_lanatus,Poaceae,Pooideae,5,1,1,4,1,1,1,1,1,1,55%,695,1,,"IUIS: High reactivity of Hol l 1 and Hol l 5; Pooideae, tribe Aveneae"
Chenopodium_album,Chenopodium album,Chenopodium_album,Chenopodiaceae,Chenopodioideae,1,2,1,2,1,1,1,1,1,1,8%,1134,1,Weber 2015; Gadermaier 2004,"Major allergen in some areas (Saudi arabia...), but perhaps not in europe?"
Artemisia_vulgaris,Artemisia vulgaris,Artemisia_vulgaris,Asteraceae,Asteroideae,6,3,1,4,1,1,1,1,1,1,15%,1145,1,Weber 2004,"Classified as a major allergen in Europe, with sensitivisation rates of 10-15%. Cross reactivity with Ambrosia (partial) and other Artemisia species (very high). No clear info on patient reactivity."
Ambrosia_coronopifolia,Ambrosia coronopifolia,Ambrosia_psilostachya,Asteraceae,Asteroideae,2,0,1,4,1,1,1,1,1,1,40%,1189,1,Weber 2004,Major allergen; cross-reactivity with otehr Ragweeds
Anthoxanthum_odoratum,Anthoxanthum odoratum,Anthoxanthum_odoratum,Poaceae,Pooideae,2,3,1,4,1,1,1,1,1,1,64%,,1,Weber 2004; Niederberger 1998,cross-reactivity with other Pooideae; Allergome; IUIS
Dactylis_glomerata,Dactylis glomerata,Dactylis_glomerata,Poaceae,Pooideae,16,3,1,4,1,1,1,1,1,1,43%,,1,Weber 2004,cross-reactivity with other Pooideae; Allergome; IUIS
Lolium_perenne,Lolium perenne,Lolium_perenne,Poaceae,Pooideae,6,3,1,4,1,1,1,1,1,1,45 % (Germany),,1,Weber 2004; Niederberger 1998,cross-reactivity with other Pooideae
Plantago_lanceolata,Plantago lanceolata,Plantago_lanceolata,Plantaginaceae,NA,28,2,1,3,1,1,1,1,1,1,11%,,1,"Weber 1985, 2003, 2015; Baldo et al. 1982; Gadermeier et al. 2014",cross reactivity with Grass and Ragweed; Reported 36% incidence in allergic population (Gademaier 2014)
Poa_pratensis,Poa pratensis,Poa_pratensis,Poaceae,Pooideae,8,2,1,4,1,1,1,1,1,1,48%,,1,Weber 2004; Niederberger 1998,"cross-reactivity with other Pooideae, Poeae grasses"
Daucus_carota,Daucus carota,Daucus_carota,Apiaceae,Apioideae,6,1,0,0,1,1,0,1,0,0,,,0,,Only the root is a known food allergen
Festuca_pratensis,Festuca pratensis,Festuca_pratensis,Poaceae,Pooideae,1,2,1,4,1,1,0,0,1,1,60%,,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses"
Arabidopsis_thaliana,Arabidopsis thaliana,Arabidopsis_thaliana,Brassicaceae,NA,28,0,1,1,0,1,0,0,1,1,NA,NA,1,Chardin 2003,possible allergen only
Festuca_arundinacea,Festuca arundinacea,Festuca_arundinacea,Poaceae,Pooideae,1,0,1,3,0,0,1,0,1,1,64%,637,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses"
Agrostis_capillaris,Agrostis capillaris,Agrostis_capillaris,Poaceae,Pooideae,36,3,1,3,0,0,0,0,1,1,NA,599,1,Weber 2004,cross-reactivity with other Pooideae
Agrostis_stolonifera,Agrostis stolonifera,Agrostis_stolonifera,Poaceae,Pooideae,1,3,1,3,0,0,0,0,1,1,NA,600,1,Weber 2004,cross-reactivity with other Pooideae
Bromus_inermis,Bromus inermis,Bromus_inermis,Poaceae,Pooideae,6,2,1,3,0,0,0,0,1,1,40%,614,1,Weber 2004,cross-reactivity with other Pooideae
Festuca_rubra_agg.,Festuca rubra agg.,Festuca_rubra,Poaceae,Pooideae,23,3,1,3,0,0,0,0,1,1,NA,635,1,Weber 2004,cross-reactivity with other Pooideae
Arrhenatherum_elatius,Arrhenatherum elatius,Arrhenatherum_elatius,Poaceae,Pooideae,9,1,1,3,0,0,0,0,1,1,NA,663,1,Weber 2004,cross-reactivity with other Pooideae
Agrostis_gigantea,Agrostis gigantea,Agrostis_gigantea,Poaceae,Pooideae,4,3,1,3,0,0,0,0,1,1,NA,,1,Weber 2004,cross-reactivity with other Pooideae
