"ID_plot","Long","Lat","Seal_500","Pop_500","prop.neo","BNIs","SR","SR.nat","SR.arch","SR.neo","Rao","Cover_herb","Cover_litter","Cover_moss","cover.nat","cover.exo","cover.arch","cover.neo"
"Brb_Nh_04",13.6899,52.33428,0.033038203,0.011287456,0,0.103993529232984,17,15,2,0,0.130838477657664,40,40,95,62.3,3,3,0
"Brb_Nl_02",13.66073,52.31619,8.165297336,1.249699833,0.0303030303030303,0.237550317320057,33,26,6,1,0.135998480694961,60,40,50,82.7,12.1,11.1,1
"Brb_Nm_03",13.30965,52.64434,10.74488865,10.05117976,0.1875,0.555526574641007,16,9,4,3,0.112706915987919,40,35,40,36.4,9.2,2.2,7
"Brb_Oh_01",13.00041,52.52896,5.123067934,0.08919478,0.108108108108108,0.326977055928398,37,25,8,4,0.127508637057661,45,40,10,59.5,13.3,7.2,6.1
"Brb_Ol_03",13.38178,52.33962,2.69787647,3.267042239,0.0285714285714286,0.152504104581636,35,23,11,1,0.164588715325025,50,60,20,68.6,8.7,7.7,1
"Brb_Ol_04",13.38759,52.33882,8.495434027,8.675726909,0.103448275862069,0.173978798650447,29,21,5,3,0.163693144682592,60,40,40,71.5,9.3,7.1,2.2
"Brb_Om_03",13.17791,52.36926,2.726828848,1.277600643,0.0645161290322581,0.182808057776823,31,22,7,2,0.119708889806837,50,30,15,52.8,4.5,3.4,1.1
"Nh_02",13.64608,52.45572,13.06210162,1.349422558,0.0294117647058824,0.184880113560351,34,27,6,1,0.11423515011249,50,75,20,59.3,5.3,5.2,0.1
"Nh_04",13.30888,52.40597,15.03303403,16.95780119,0.0606060606060606,0.109474596476835,33,25,6,2,0.123538602554373,70,60,50,68.4,3.5,3.3,0.2
"Nh_05",13.40603,52.47541,15.62042232,23.98011791,0.0625,0.154436688043957,32,26,4,2,0.129841584502404,95,20,2,113.9,7.3,5.2,2.1
"Nh_10",13.51432,52.44011,38.45486093,10.38682427,0.129032258064516,0.438807780170461,31,21,6,4,0.1977404404242,65,60,10,68.6,14.5,2.4,12.1
"Nh_11",13.44811,52.61662,9.985880579,2.508689986,0.105263157894737,0.314919435674835,19,12,5,2,0.108985526664976,60,60,25,55.6,7.4,3.3,4.1
"Nh_51",13.24265,52.4882,4.375614422,0.016273498,0.08,0.138841777817424,25,17,6,2,0.119001041276949,45,50,30,59.4,4.6,4.4,0.2
"Nh_201",13.54843,52.48448,22.64304139,3.994589351,0.157894736842105,0.110913370830283,19,13,3,3,0.096809625133404,40,30,50,52.4,3.4,3.1,0.3
"Nl_03",13.12965,52.47737,15.55840432,11.33173089,0.111111111111111,0.220448211513561,36,25,7,4,0.145641340259677,50,40,10,84.8,10.4,7.3,3.1
"Nl_05",13.47589,52.45935,43.2063175,67.957262,0.114285714285714,0.403141300307998,35,24,7,4,0.156425670797768,40,2,1,48.5,19.4,17.1,2.3
"Nl_09",13.37276,52.48854,56.65716858,101.1527812,0.142857142857143,0.231373349352695,28,20,4,4,0.133250321004606,40,30,40,43.6,6.3,3.2,3.1
"Nl_14",13.38538,52.53438,62.77824415,105.276738,0.21875,0.855237485733446,32,19,6,7,0.208805549450283,55,30,10,34.5,34.8,2.4,32.4
"Nl_16",13.48428,52.63044,10.042086,0,0.133333333333333,0.240299051406066,30,19,7,4,0.147846111042899,50,50,30,65.5,8.4,4.3,4.1
"Nl_18",13.28318,52.56943,12.34553491,9.284352764,0.15625,0.272920970530546,32,22,5,5,0.157808040559651,50,60,3,65.5,10.2,5.1,5.1
"Nl_55",13.35797,52.45722,32.38531242,28.63120099,0.145833333333333,0.421772565523532,48,29,13,7,0.153223592190141,60,20,60,85.7,26.5,18.5,8.1
"Nl_56",13.37576,52.51426,54.40205243,12.98569312,0.0384615384615385,0.371703207767854,26,17,8,1,0.14215977156275,90,1,40,86.5,40.4,40.3,0.1
"Nl_200",13.37698,52.53825,61.55944794,93.2347972,0.0344827586206897,0.135817457530418,29,21,7,1,0.135225971093015,70,50,25,85.7,6.5,6.4,0.1
"Nl_205",13.25248,52.50828,38.18809517,31.23799594,0.12,0.324400304066436,25,16,6,3,0.170003710602079,55,10,10,76.2,13.1,7.1,6
"Nl_206",13.3465,52.56343,39.02503405,74.20640794,0.0357142857142857,0.0949119040072449,28,19,8,1,0.172730580817404,80,40,10,119.4,7.5,7.4,0.1
"Nl_208",13.55584,52.43955,51.75384685,89.3238856,0.03125,0.144006757762385,32,24,7,1,0.108805407438354,70,25,5,97.1,6.4,5.4,1
"Nl_211",13.45144,52.43653,44.01499079,67.77697975,0.111111111111111,0.250198073625226,27,19,5,3,0.175503105807548,98,5,6,119.6,14.1,7.1,7
"Nl_214",13.49902,52.43429,54.18341128,39.17698675,0.0909090909090909,0.536202346801449,33,19,11,3,0.154621097700779,60,10,35,70.6,45.6,36.6,9
"Nl_220",13.35497,52.47755,67.58884996,54.55714629,0.153846153846154,0.414200390728705,13,11,0,2,0.130924876089491,50,30,20,50.3,10.1,0,10.1
"Nm_02",13.6585,52.45443,3.452876791,0,0.0555555555555556,0.345589650412527,36,25,9,2,0.157700283605756,65,65,30,94,18.3,7.3,11
"Nm_03",13.39376,52.6339,1.417095738,0.374063905,0,0.130189736388893,9,8,1,0,0.0376533305395277,70,70,50,65.3,1,1,0
"Nm_05",13.56144,52.42789,42.11579112,4.080392181,0.142857142857143,0.343158293322449,28,18,6,4,0.137042688657342,75,60,70,84.6,9.4,4.2,5.2
"Nm_07",13.37353,52.51451,41.16516296,2.951166406,0.12,0.366290358773141,25,12,11,3,0.138866746600087,60,5,60,63.4,21.4,21.2,1.2
"Nm_09",13.35908,52.46165,32.73133882,17.0689831,0.0434782608695652,0.243438785515514,23,18,4,1,0.123300948333994,50,30,60,71.7,7.1,3.1,4
"Nm_14",13.52209,52.4688,30.44468626,19.876756,0.0526315789473684,0.0762597594101712,19,13,5,1,0.110678032079818,50,50,5,69.2,2.4,2.3,0.1
"Nm_50",13.22444,52.50058,3.473909307,0.407319306,0.125,0.354369556304644,40,26,10,5,0.150835781588693,60,10,5,76.8,14.9,6.7,8.3
"Nm_201",13.28078,52.50321,65.20484527,20.94982571,0.12,0.132649455086538,25,19,3,3,0.137593388305624,70,20,60,98.3,6.2,4,2.2
"Nm_202",13.22902,52.50694,32.64042579,28.66354317,0.0967741935483871,0.300542584032093,31,22,6,3,0.136440760900734,65,40,10,79.7,8.5,2.4,6.1
"Oh_01",13.58918,52.47647,10.96370594,6.913974475,0.037037037037037,0.0904741280827999,27,22,4,1,0.164460624978532,40,40,50,60.6,3.2,3.1,0.1
"Oh_02",13.57169,52.50037,40.50267815,28.52876463,0.142857142857143,0.694255765808519,28,19,5,4,0.182565933524892,80,80,0,77.9,37.3,3.2,34.1
"Oh_03",13.20594,52.44694,6.112956613,0,0.0967741935483871,0.168785605377452,31,20,8,3,0.115459911546234,75,75,1,105.2,8.4,7.2,1.2
"Oh_04",13.20171,52.58678,1.233163376,0,0,0.0334706481532891,12,11,1,0,0.103399976682156,60,30,20,79,1,1,0
"Oh_07",13.61755,52.42034,1.500315081,0,0.0476190476190476,0.210403619152273,21,17,3,1,0.145576153659365,40,5,50,47.4,7,6,1
"Oh_10",13.64302,52.45719,14.96974977,2.697037616,0.027027027027027,0.071114433584248,37,31,5,1,0.141358979513924,35,70,60,51.9,1.5,1.4,0.1
"Oh_12",13.09988,52.41562,6.692000501,1.719878222,0.0833333333333333,0.118763703545888,24,18,4,2,0.150328492503666,70,40,35,64.6,3.4,1.3,2.1
"Ol_03",13.63198,52.46215,7.392669123,2.722309868,0.0714285714285714,0.357026860856878,42,25,14,3,0.157233429776907,60,20,20,83.9,22.6,16.5,6.1
"Ol_06",13.4916,52.58245,11.89397981,12.23155805,0.1,0.183252900428349,20,13,5,2,0.125373299466978,50,20,40,59.1,6.4,6.2,0.2
"Ol_11",13.61681,52.43841,1.495169104,0,0.0625,0.197132135452691,32,24,6,2,0.112852959927696,40,50,15,50.9,4.5,2.4,2.1
"Ol_16",13.15649,52.57805,0.100126067,0,0,0.167308021687696,19,12,7,0,0.162133260330948,40,30,30,45.5,6.3,6.3,0
"Ol_55",13.18328,52.41555,7.534940189,2.12050328,0.0212765957446809,0.174198118476019,47,38,8,1,0.137243324267563,60,75,5,91.3,8.5,8.4,0.1
"Om_02",13.58431,52.47911,17.25246392,11.92875509,0.05,0.0841885397043461,40,34,4,2,0.137521703205821,80,25,10,94,4.2,4,0.2
"Om_05",13.24726,52.58265,1.190420833,0.031340832,0.0333333333333333,0.541659212663427,30,22,7,1,0.184456413711111,60,10,20,48.9,27.2,17.2,10
"Om_06",13.2075,52.58202,3.042456629,0.202868797,0.0526315789473684,0.217353711150961,19,14,4,1,0.099999846129228,40,15,15,46.5,4.2,4.1,0.1
"Om_08",13.15125,52.45452,18.68803831,12.13017985,0,0.226015852181755,29,24,5,0,0.154796816706038,55,40,20,59.9,10.1,10.1,0
"Ol_50",13.19511,52.47137,2.14418511,0.033178759,0.114285714285714,0.271222986073497,35,22,9,4,0.149008850158894,80,40,10,113.3,22.6,11.4,11.2
"Om_15",13.14572,52.58331,0.228398343,0.064443144,0,0.0391275531217906,23,20,3,0,0.0993725519558865,80,70,10,93.5,1.2,1.2,0
