"","Species","genus","Allergen.simple","Allergen.Family","Databases","Ref.manual","Mol.alt","Allergen.genus","Types","Matched.names","Species.in.data","Accepted.names.in.data","Matches.with.database"
"1","Agrostis_capillaris","Agrostis","Poe_1","AF093: Expansin and expansin-like","AllergenOnline;AllergomeData","NA","Agr a 1;Agr g 1;Agr ca 1;Spo in 1","Poe_1","Aero Plant;NA","Agrostis_alba;Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass;Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","Agrostis_capillaris","Agrostis_capillaris","1b"
"2","Agrostis_capillaris","Agrostis","Poe_12","AF051: Profilin","allergen added based on Grass taxonomy","NA","NA","Poe_12","NA","NA","Agrostis_capillaris","Agrostis_capillaris","1b"
"3","Agrostis_capillaris","Agrostis","Poe_4","AF099: Berberine bridge enzyme","AllergomeData","NA","Agr g 4","Poe_4","NA","Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass","Agrostis_capillaris","Agrostis_capillaris","1b"
"4","Agrostis_capillaris","Agrostis","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","NA","Agr ca 5;Agr s 5","Poe_5","NA","Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_stolonifera;_Creeping_Bent;_Grasses;_Plants;_Poaceae","Agrostis_capillaris","Agrostis_capillaris","1b"
"5","Agrostis_capillaris","Agrostis","Poe_7","AF007: EF hand family","AllergomeData","NA","Spo in 7","Poe_7","NA","Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","Agrostis_capillaris","Agrostis_capillaris","1b"
"6","Agrostis_capillaris","Agrostis","Spo_in_13","AF057: Polygalacturonase","AllergomeData","NA","Spo in 13","Agrostis_13","NA","Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","Agrostis_capillaris","Agrostis_capillaris","3"
"7","Agrostis_gigantea","Agrostis","Poe_1","AF093: Expansin and expansin-like","AllergenOnline;AllergomeData","NA","Agr a 1;Agr g 1;Agr ca 1;Spo in 1","Poe_1","Aero Plant;NA","Agrostis_alba;Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass;Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_elongata;_Agrostis_indica;_Agrostis_tenacissima;_Agrostis_tenuissima;_Grasses;_Plants;_Poaceae;_Rattail_Smutgrass;_Smut_Grass;_Sporobolus_angustus;_Sporobolus_berterianus;_Sporobolus_berteroanus;_Sporobolus_elongatus;_Sporobolus_exilis;_Sporobolus_indicus;_Sporobolus_lamarckii;_Vilfa_angusta;_Vilfa_berteroana;_Vilfa_elongata;_Vilfa_exilis;_Vilfa_familiaris;_Vilfa_indica;_Vilfa_rupestris","Agrostis_gigantea","Agrostis_gigantea","1b"
"8","Agrostis_gigantea","Agrostis","Poe_12","AF051: Profilin","allergen added based on Grass taxonomy","NA","NA","Poe_12","NA","NA","Agrostis_gigantea","Agrostis_gigantea","1b"
"9","Agrostis_gigantea","Agrostis","Poe_4","AF099: Berberine bridge enzyme","AllergomeData","NA","Agr g 4","Poe_4","NA","Agrostis_alba;_Agrostis_alba_alba;_Agrostis_gigantea;_Agrostis_gigantea_var._dispar;_Agrostis_nigra;_Agrostis_stolonifera_var._major;_Black_Bent;_Grasses;_Plants;_Poaceae;_Redtop;_Water_Bentgrass","Agrostis_gigantea","Agrostis_gigantea","1b"
"10","Agrostis_gigantea","Agrostis","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","NA","Agr ca 5;Agr s 5","Poe_5","NA","Agrostis_capillaris;_Agrostis_tenuis;_Agrostis_vulgaris;_Browntop;_Common_Bent;_Grasses;_Plants;_Poaceae;Agrostis_stolonifera;_Creeping_Bent;_Grasses;_Plants;_Poaceae","Agrostis_gigantea","Agrostis_gigantea","1b"
