"","Species","Species_name","Species_acceptedname","family","subfamily","Frequency","allergen_score_old","allergenicity_anecdotal","allergen_score_corrected","IUIS.record","SDAP.record","AllFam.record","Allergenonline.record","Allergome.record","additional_ref","react.europe.Allergome","FDA","allergenicity_strict","ref_severity","Comment_severity","allergen_score","Flowering_beg","Flowering_end","Pollen_dispersal","Source","Species.match","Genus","allergenicity","database.record","severe.all","Freq.rural","Freq.suburb","Freq.urban","Introduction_status_Seitz2012","Origin","status_num","first_evidence","SLA_mean","PlantHeight_mean","SeedDryMass_mean","poll_vect_B","flw_muell","FunGroup","LifeForm","fl.beg","fl.end","fl.period","resident","native","exotic","neophyte","molecule.unknown","allergenicity.broad","known.mols","known.allfam","phenology_score","main.pollination","pollen_score","PAV","anemophilous"
"Achillea_millefolium","Achillea_millefolium","Achillea millefolium","Achillea_millefolium","Asteraceae","Asteroideae",34,1,1,1,0,0,0,0,0,1,"",1274,0,"Kiistala 1999; Compes 2006","severity unclear; extrapolate from slight cross reactivity with other Asteraceae",1,"June","October","Insects","BioFlor- 2018","Achillea_millefolium","Achillea",1,FALSE,0,12,10,12,"I","Northern-Europe",1,NA,15.24885873,0.385589623,0.183669903,"in (insects) [always]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,10,4,1,1,0,0,1,1,0,0,3,"insects",1,3,0
"Agrimonia_eupatoria","Agrimonia_eupatoria","Agrimonia eupatoria","Agrimonia_eupatoria","Rosaceae","Rosoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","September","Selfing, insects","BioFlor- 2018","Agrimonia_eupatoria","Agrimonia",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,18.018,0.5245625,13.17648276,"se (selfing) [the rule] - in (insects) [rare]","Po (pollen flowers)Typical pollinators: short tongued bees, syrphids, flies, beetles","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"insects-selfing",1,0,0
"Agrostis_capillaris","Agrostis_capillaris","Agrostis capillaris","Agrostis_capillaris","Poaceae","Pooideae",36,3,1,3,0,0,0,0,1,1,NA,599,1,"Weber 2004","cross-reactivity with other Pooideae",3,"June","July","Wind","BioFlor- 2018","Agrostis_capillaris","Agrostis",1,TRUE,1,17,11,8,"I","Northern-Europe",1,NA,31.4717982,0.39603255,0.066257115,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,6,6,1,"wind",3,9,1
"Agrostis_gigantea","Agrostis_gigantea","Agrostis gigantea","Agrostis_gigantea","Poaceae","Pooideae",4,3,1,3,0,0,0,0,1,1,NA,NA,1,"Weber 2004","cross-reactivity with other Pooideae",3,"June","July","Wind","BioFlor- 2018","Agrostis_gigantea","Agrostis",1,TRUE,1,1,1,2,"I","Northern-Europe",1,NA,29.28657143,0.766973333,0.082381388,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,6,6,1,"wind",3,9,1
"Agrostis_stolonifera","Agrostis_stolonifera","Agrostis stolonifera","Agrostis_stolonifera","Poaceae","Pooideae",1,3,1,3,0,0,0,0,1,1,NA,600,1,"Weber 2004","cross-reactivity with other Pooideae",3,"June","July","Wind","BioFlor- 2018","Agrostis_stolonifera","Agrostis",1,TRUE,1,0,0,1,"I","Northern-Europe",1,NA,28.55027479,0.653136,0.054623059,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,6,6,1,"wind",3,9,1
"Ajuga_genevensis","Ajuga_genevensis","Ajuga genevensis","Ajuga_genevensis","Lamiaceae","Teucrioideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"April","June","Selfing, insects","BioFlor- 2018","Ajuga_genevensis","Ajuga",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,25.79166667,0.155,NA,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","Hh (bumble bee flowers)Typical pollinators: bumble bees","Forb","Cryptophyte",4,6,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Ambrosia_coronopifolia","Ambrosia_coronopifolia","Ambrosia coronopifolia","Ambrosia_psilostachya","Asteraceae","Asteroideae",2,0,1,4,1,1,1,1,1,1,"40%",1189,1,"Weber 2004","Major allergen; cross-reactivity with otehr Ragweeds",4,"August","October","Wind","BioFlor- 2018","Ambrosia_coronopifolia","Ambrosia",1,TRUE,1,0,0,2,"N","North_America",3,1946,15.86563129,0.4525,6.527875,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",8,10,2,0,0,1,1,0,1,13,10,2,"wind",3,24,1
"Anchusa_officinalis","Anchusa_officinalis","Anchusa officinalis","Anchusa_officinalis","Boraginaceae","Boraginoideae",6,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","August","Selfing, insects","BioFlor- 2018","Anchusa_officinalis","Anchusa",0,FALSE,0,1,1,4,"A","",2,NA,23.155,0.5,4.408571429,"se (selfing) [possible] - in (insects) [the rule]","H (hymenoptere flowers)Typical pollinators: hymenopteres","Forb","Cryptophyte",5,8,3,1,0,1,0,0,0,0,0,3,"insects",1,0,0
"Anthoxanthum_odoratum","Anthoxanthum_odoratum","Anthoxanthum odoratum","Anthoxanthum_odoratum","Poaceae","Pooideae",2,3,1,4,1,1,1,1,1,1,"64%",NA,1,"Weber 2004; Niederberger 1998","cross-reactivity with other Pooideae; Allergome; IUIS",4,"May","June","Wind, selfing","BioFlor- 2018","Anthoxanthum_odoratum","Anthoxanthum",1,TRUE,1,2,0,0,"I","Northern-Europe",1,NA,27.64428997,0.350757229,0.476304255,"wi (wind) [the rule] - se (selfing) [possible]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,6,1,1,1,0,0,0,1,8,6,1,"wind",3,12,1
"Anthriscus_caucalis","Anthriscus_caucalis","Anthriscus caucalis","Anthriscus_caucalis","Apiaceae","Apioideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","June","Selfing, insects","BioFlor- 2018","Anthriscus_caucalis","Anthriscus",0,FALSE,0,0,0,1,"A","",2,NA,34.07214286,0.3955,1.175061538,"se (selfing) [the rule] - in (insects) [rare]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",5,6,1,1,0,1,0,0,0,0,0,1,"insects-selfing",1,0,0
