"Species_name","Species_nr","German_name","acceptedname","authority","genus","Species","Species.simple","family","subfamily","tribe","subtribe","Species_col","Species_in_status","Species_in_Bioflor","Introduction_status_Seitz2012","Introduction_status_Biolflor","first_evidence","Origin","status_num","clonal_adventitious_buds_on_roots","clonal_bulbs","clonal_epigeogeneous_stems","clonal_hypogeogeneous_stems","clonal_plant_fragments_of_stem_origin","clonal_plantlets_(pseudovivipary)","clonal_rooting_horizontal_stems","clonal_root-splitters","clonal_spacers_above_and_renewal_buds_below_soil_surface","clonal_stem_tubers","clonal_buds_on_leaves_(gemmipary)","reprod_type","LifeF_macrophanero","LifeF_nanophanero","LifeF_hemicrypto","LifeF_geophyte","LifeF_chamae","LifeF_hemiphanero","LifeF_pseudo","LifeF_thero","flower_class","legume","flower_brown","flower_yellow","flower_green","flower_red","flower_white","flower_pink","flower_purple","flower_violet","flower_blue","DispersalUnitLength_mean","LeafArea_mean","LeafNitrogenContent_mean","PlantHeight_mean","PlantMycorrhizalInfection_mean","SeedDryMass_mean","SLA_mean","poll_vect_B","flw_muell","self_poll","insect_poll","wind_poll","cleisto_poll","FunGroup","LifeForm"
"Acer",60602,"Ahorn","Acer","L.","Acer","Acer","Acer","Sapindaceae","Hippocastanoideae","Acereae",NA,"Acer","Acer","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Forb",NA
"Acer campestre",6,"Feld-Ahorn","Acer campestre","L.","Acer","Acer_campestre","Acer_campestre","Sapindaceae","Hippocastanoideae","Acereae",NA,"Acer_campestre","Acer campestre","Acer campestre","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,0,0,0,0,"ssv",1,1,0,0,0,0,0,0,"A",0,0,1,1,0,0,0,0,0,0,23.309,2925.923508,19.97393625,13.35666667,70,78.18901132,19.25199704,"in (insects) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,1,0,0,"Forb","Nanophanerophyte"
"Acer negundo",8,"Eschen-Ahorn","Acer negundo","L.","Acer","Acer_negundo","Acer_negundo","Sapindaceae","Hippocastanoideae","Acereae",NA,"Acer_negundo","Acer negundo","Acer negundo","N","N",1945,"North_America,Central_America","3",1,0,0,0,0,0,0,0,0,0,0,"sv",1,0,0,0,0,0,0,0,"A",0,0,1,1,0,0,0,0,0,0,31.18571429,7874.811968,26.10705818,7.082111111,NA,30.75674958,23.43021205,"wi (wind) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,0,1,0,"Forb","Phanerophyte"
"Acer platanoides",14,"Spitz-Ahorn","Acer platanoides","L.","Acer","Acer_platanoides","Acer_platanoides","Sapindaceae","Hippocastanoideae","Acereae",NA,"Acer_platanoides","Acer platanoides","Acer platanoides","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,0,0,0,0,"s",1,0,0,0,0,0,0,0,"A",0,0,1,1,0,0,0,0,0,0,33.875,9417.831591,20.43254884,18.42705882,NA,128.6117159,20.62134007,"in (insects) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,1,0,0,"Forb","Phanerophyte"
"Acer pseudoplatanus",15,"Berg-Ahorn","Acer pseudoplatanus","L.","Acer","Acer_pseudoplatanus","Acer_pseudoplatanus","Sapindaceae","Hippocastanoideae","Acereae",NA,"Acer_pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","N","I",1964,"Europe","1",1,0,0,0,0,0,0,0,0,0,0,"s",1,0,0,0,0,0,0,0,"A",0,0,1,1,0,0,0,0,0,0,32.368,8669.575856,25.25647755,23.14175,70,86.59321473,15.01696267,"in (insects) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,1,0,0,"Forb","Phanerophyte"
"Achillea millefolium",31,"Gewöhnliche Wiesen-Schafgarbe","Achillea millefolium","L.","Achillea","Achillea_millefolium","Achillea_millefolium","Asteraceae","Asteroideae","Anthemideae","Matricariinae","Achillea_millefolium","Achillea millefolium","Achillea millefolium","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"B`",0,0,0,0,1,1,1,1,0,0,1.893333333,553.4395979,26.65611603,0.385589623,70,0.183669903,15.24885873,"in (insects) [always]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Agrimonia eupatoria",99,"Kleiner Odermennig","Agrimonia eupatoria","L.","Agrimonia","Agrimonia_eupatoria","Agrimonia_eupatoria","Rosaceae","Rosoideae","Sanguisorbeae","Agrimoniinae","Agrimonia_eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"Po",0,0,0,1,0,0,0,0,0,0,6.52,6694.666667,16.675,0.5245625,70,13.17648276,18.018,"se (selfing) [the rule] - in (insects) [rare]","Po (pollen flowers)Typical pollinators: short tongued bees, syrphids, flies, beetles",1,0,0,0,"Forb","Cryptophyte"
"Agrostis capillaris",20178,"Rotes Straußgras","Agrostis capillaris","L.","Agrostis","Agrostis_capillaris","Agrostis_capillaris","Poaceae","Pooideae","Poeae","Agrostidinae","Agrostis_capillaris","Agrostis capillaris","Agrostis capillaris","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,1,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,1.513,213.3804444,21.72276023,0.39603255,70,0.066257115,31.4717982,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Agrostis gigantea",128,"Riesen-Straußgras","Agrostis gigantea","Roth","Agrostis","Agrostis_gigantea","Agrostis_gigantea","Poaceae","Pooideae","Poeae","Agrostidinae","Agrostis_gigantea","Agrostis gigantea","Agrostis gigantea","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,1,0,0,0,0,"sv",0,0,1,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,1.458333333,881.388,NA,0.766973333,70,0.082381388,29.28657143,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Agrostis stolonifera",129,"Weißes Straußgras","Agrostis stolonifera","L.","Agrostis","Agrostis_stolonifera","Agrostis_stolonifera","Poaceae","Pooideae","Poeae","Agrostidinae","Agrostis_stolonifera","Agrostis stolonifera","Agrostis stolonifera","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,1,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,0,0,0,0,0,1,0,0,1.37125,252.3228178,30.43114073,0.653136,70,0.054623059,28.55027479,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
