Species_name,Flowering_beg,Flowering_end,Pollen_dispersal,Source
Acer,March,June,"Wind, selfing, insects",BioFlor- 2018
Acer campestre,May,June,Insects,BioFlor- 2018
Acer negundo,April,April,Wind,BioFlor- 2018
Acer platanoides,April,May,Insects,BioFlor- 2018
Acer pseudoplatanus,May,May,Insects,BioFlor- 2018
Achillea millefolium,June,October,Insects,BioFlor- 2018
Agrimonia eupatoria,June,September,"Selfing, insects",BioFlor- 2018
Agrostis capillaris,June,July,Wind,BioFlor- 2018
Agrostis gigantea,June,July,Wind,BioFlor- 2018
Agrostis stolonifera,June,July,Wind,BioFlor- 2018
Ajuga genevensis,April,June,"Selfing, insects",BioFlor- 2018
Ambrosia coronopifolia,August,October,Wind,BioFlor- 2018
Anchusa officinalis,May,August,"Selfing, insects",BioFlor- 2018
Anthoxanthum odoratum,May,June,"Wind, selfing",BioFlor- 2018
Anthriscus caucalis,May,June,"Selfing, insects",BioFlor- 2018
Arabidopsis arenosa subsp. arenosa,April,August,Insects,BioFlor- 2018
Arabidopsis thaliana,April,May,"Selfing, insects",BioFlor- 2018
Arenaria serpyllifolia,May,September,"Selfing, insects",BioFlor- 2018
Armeria maritima subsp. elongata,May,November,"Selfing, insects",BioFlor- 2018
Arrhenatherum elatius,June,October,"Wind, selfing",BioFlor- 2018
Artemisia campestris,August,October,Wind,BioFlor- 2018
Artemisia vulgaris,July,November,Wind,BioFlor- 2018
Berteroa incana,June,October,"Selfing, insects",BioFlor- 2018
Bromus hordeaceus,May,August,"Wind, selfing, cleistogamy",BioFlor- 2018
Bromus inermis,June,July,Wind,BioFlor- 2018
Bromus sterilis,May,June,"Selfing, cleistogamy",BioFlor- 2018
Bromus tectorum,May,June,"Wind, selfing, cleistogamy",BioFlor- 2018
Calamagrostis epigejos,July,August,Wind,BioFlor- 2018
Campanula rapunculus,June,August,Insects,BioFlor- 2018
Capsella bursa.pastoris,January,December,"Selfing, insects",BioFlor- 2018
Cardamine hirsuta,March,June,"Selfing, insects",BioFlor- 2018
Carex arenaria,May,October,"Wind, selfing",BioFlor- 2018
Carex caryophyllea,April,May,Wind,BioFlor- 2020
Carex hirta,May,June,Wind,BioFlor- 2018
Carex ligerica,April,May,Wind,BioFlor- 2020
Carex praecox,April,June,Wind,BioFlor- 2018
Carex spicata,May,June,Wind,BioFlor- 2018
Centaurea jacea,June,November,Insects,BioFlor- 2018
Centaurea stoebe,July,September,Insects,BioFlor- 2018
Cerastium arvense,April,July,"Selfing, insects",BioFlor- 2018
Cerastium glomeratum,March,September,Selfing,BioFlor- 2018
Cerastium glutinosum,March,May,"Selfing, insects",BioFlor- 2018
Cerastium holosteoides,March,June,"Selfing, insects",BioFlor- 2018
Cerastium semidecandrum,March,May,"Selfing, insects",BioFlor- 2018
Chenopodium album,July,October,Wind,BioFlor- 2018
