Name,Links to allergen databases,,Source,Group,Routes of exposure,Family
Aca f 1,IUIS,AllergenOnline,Acacia_farnesiana_(Vachellia_farnesiana)_(Needle_bush),Plants,Inhalation,AF087: Ole e 1 family
Aca f 2,IUIS,AllergenOnline,Acacia_farnesiana_(Vachellia_farnesiana)_(Needle_bush),Plants,Inhalation,AF051: Profilin
Act c 10,IUIS,AllergenOnline,Actinidia_chinensis_(Gold_kiwi_fruit),Plants,Ingestion,AF050: Prolamin superfamily
Act c 8,IUIS,AllergenOnline,Actinidia_chinensis_(Gold_kiwi_fruit),Plants,Ingestion,AF069: Bet v 1 family
Act c actinidin,,AllergenOnline,Actinidia_chinensis_(Gold_kiwi_fruit),Plants,Ingestion,AF030: Papain-like cysteine protease
Act c TLP,,AllergenOnline,Actinidia_chinensis_(Gold_kiwi_fruit),Plants,Ingestion,AF060: Thaumatin-like protein
Act d 1,IUIS,AllergenOnline,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF030: Papain-like cysteine protease
Act d 10,IUIS,AllergenOnline,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF050: Prolamin superfamily
Act d 11,IUIS,AllergenOnline,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF069: Bet v 1 family
Act d 12,IUIS,,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF045: Cupin
Act d 2,IUIS,AllergenOnline,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF060: Thaumatin-like protein
Act d 4,IUIS,AllergenOnline,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF005: Cystatin
Act d 6,IUIS,,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF120: Plant invertase/pectin methylesterase inhibitor
Act d 7,IUIS,,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF026: Pectin methylesterase
Act d 8,IUIS,AllergenOnline,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF069: Bet v 1 family
Act d 9,IUIS,,Actinidia_deliciosa_(Kiwi_fruit),Plants,Ingestion,AF051: Profilin
Agr a expansin,,AllergenOnline,Agrostis_alba_(Bent_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Agr a group 1,,AllergenOnline,Agrostis_alba_(Bent_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Aln g 1,IUIS,AllergenOnline,Alnus_glutinosa_(European_alder),Plants,Inhalation,AF069: Bet v 1 family
Aln g 4,IUIS,AllergenOnline,Alnus_glutinosa_(European_alder),Plants,Inhalation,AF007: EF hand family
Ama r 1,IUIS,AllergenOnline,Amaranthus_retroflexus_(Redroot_pigweed),Plants,Inhalation,AF087: Ole e 1 family
Ama r 2,IUIS,AllergenOnline,Amaranthus_retroflexus_(Redroot_pigweed),Plants,Inhalation,AF051: Profilin
Amb a 1,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF073: Pectate lyase
Amb a 10,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF007: EF hand family
Amb a 11,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF030: Papain-like cysteine protease
Amb a 3,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF112: Plastocyanin
Amb a 4,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF059: Plant defensin
Amb a 5,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF118: Group 5 ragweed allergen
