Species;Common;IUIS Allergen;Type;Group;Allergenicity;Length;Accession;GI#;1st Version
Bos taurus;Bovine;Bos d 2.0101;Aero Animal;Bos Bos d 2;IgE but no biological test;172;AAB08720.1;886215;7
Bos taurus;Bovine;Bos d 3.0101;Aero Animal;Bos Bos d 3;IgE but no biological test;101;Q28050.1;2493414;7
Canis familiaris;Dog;Can f 1.0101;Aero Animal;Canis Can f 1 Lipocalin;IgE plus basophil+ or SPT+;174;AAC48794.1;2598974;11
Canis familiaris;Dog;Can f 2;Aero Animal;Canis Can f 2 Lipocalin;IgE plus basophil+ or SPT+;177;CAD82911.1;29292272;7
Canis familiaris;Dog;Can f 2;Aero Animal;Canis Can f 2 Lipocalin;IgE plus basophil+ or SPT+;179;CAD82912.1;29292274;7
Canis familiaris;Dog;Can f 2.0101;Aero Animal;Canis Can f 2 Lipocalin;IgE plus basophil+ or SPT+;180;AAC48795.1;2598976;11
Canis familiaris;Dog;Can f 3;Aero Animal;Canis Can f 3 Serum albumin;IgE plus basophil+ or SPT+;265;AAB30434.1;633938;7
Canis familiaris;Dog;Can f 3;Aero Animal;Canis Can f 3 Serum albumin;IgE plus basophil+ or SPT+;585;CAA76841.1;3319897;7
Canis familiaris;Dog;Can f 3.0101;Aero Animal;Canis Can f 3 Serum albumin;IgE plus basophil+ or SPT+;608;BAC10663.1;22531688;15
Canis familiaris;Dog;Can f 4.0101;Aero Animal;Canis Can f 4 epithelial 18 kDa;IgE but no biological test;174;ACY38525.1;262232390;12
Canis familiaris;Dog;Unassigned;Aero Animal;Canis Can f 4 epithelial 18 kDa;IgE but no biological test;174;AHY24648.1;625295108;16
Canis familiaris;Dog;Can f 5.0101;Aero Animal;Canis Can f 5;IgE but no biological test;260;CAA68720.1;868;15
Canis familiaris;Dog;Can f 6.0101;Aero Animal;Canis Can f 6 Lipocalin;IgE but no biological test;190;CCF72371.1;374092884;13
Canis familiaris;Dog;Can f 7.0101;Aero Animal;"Canis familiaris	Can f 7";IgE but no biological test;149;AAB34263.1;945179;16
Cavia porcellus;Domestic guinea pig;Cav p 1.0101;Aero Animal;Cavia Cav p 1;IgE but no biological test;15;P83507.1;32469617;7
